original_column_name,column_name,column_description,data_format,value_description
address,,the address of this legislator,text,
bioguide,bioguide id,The alphanumeric ID for this legislator ,text,
caucus,,caucus,text,"For independents, the party that the legislator caucuses with, using the same values as the party field. Omitted if the legislator caucuses with the party indicated in the party field. When in doubt about the difference between the party and caucus fields, the party field is what displays after the legislator's name (i.e. ""(D)"") but the caucus field is what normally determines committee seniority. This field was added starting with terms for the 113th Congress."
chamber,,chamber,text,"â¢ senate
â¢ house"
class,,class,real,"For senators, their election class (1, 2, or 3). 
commonsense evidence:
only senator has class, if the value is null or empty, it means this legislator is not senator."
contact_form,,The website URL of the contact page on the legislator's official website,text,
district,,district,real,"For representatives, the district number they are serving from. 
commonsense evidence:
if null or empty, they are not representatives."
end,,the end of the term,text,"end: The date the term ended (because the Congress ended or the legislator died or resigned, etc.). End dates follow the Constitutional end of a term. Since 1935, terms begin and end on January 3 at noon in odd-numbered years, and thus a term end date may also be a term start date. Prior to 1935, terms began on March 4 and ended either on March 3 or March 4. The end date is the last date on which the legislator served this term. Unlike the start date, whether Congress was in session or not does not affect the value of this field."
fax,,"The fax number of the legislator's Washington, D.C. office",text,only valid if the term is current
last,,the last known number,text,
name,,,text,not useful
office,,office ,text,"only valid if the term is current, otherwise the last known office"
party,,The political party of the legislator.,text,"commonsense evidence:
If the legislator changed parties, this is the most recent party held during the term and party_affiliations will be set. Values are typically ""Democrat"", ""Independent"", or ""Republican"". The value typically matches the political party of the legislator on the ballot in his or her last election, although for state affiliate parties such as ""Democratic Farmer Labor"" we will use the national party name (""Democrat"") instead to keep the values of this field normalized."
party_affiliations,party affiliations,This field is present if the legislator changed party or caucus affiliation during the term.,text,"The value is a list of time periods, with start and end dates, each of which has a party field and a caucus field if applicable, with the same meanings as the main party and caucus fields. The time periods cover the entire term, so the first start will match the term start, the last end will match the term end, and the last party (and caucus if present) will match the term party (and caucus)."
phone,,"The phone number of the legislator's Washington, D.C. office",text,"only valid if the term is current, otherwise the last known number"
relation,,,text,not useful
rss_url,Really Simple Syndication URL,The URL to the official website's RSS feed,text,
start,,"The date legislative service began: the date the legislator was sworn in, if known, or else the beginning of the legislator's term. ",text,"Since 1935 regularly elected terms begin on January 3 at noon on odd-numbered years, but when Congress does not first meet on January 3, term start dates might reflect that swearing-in occurred on a later date. (Prior to 1935, terms began on March 4 of odd-numbered years, see here.) "
state,,state code,text,"commonsense evidence:
AK: Alaska 
AL: Alabama 
AR: Arkansas 
AZ: Arizona 
CA: California 
CO: Colorado 
CT: Connecticut 
DE: Delaware 
FL: Florida 
GA: Georgia 
HI: Hawaii 
IA: Iowa 
ID: Idaho 
IL: Illinois 
IN: Indiana 
KS: Kansas 
KY: Kentucky 
LA: Louisiana 
MA: Massachusetts 
MD: Maryland 
ME: Maine 
MI: Michigan 
MN: Minnesota 
MO: Missouri 
MS: Mississippi 
MT: Montana 
NC: North Carolina 
ND: North Dakota 
NE: Nebraska 
NH: New Hampshire 
NJ: New Jersey
9 divisions of states in us: (please mention)
https://www2.census.gov/geo/pdfs/maps-data/maps/reference/us_regdiv.pdf"
state_rank,,"whether they are the ""junior"" or ""senior"" senator",text,"only valid if the term is current, otherwise the senator's rank at the time the term ended
commonsense evidence:
only senator has this value"
title,,title of the legislator,text,
type,,The type of the term.,text,"Either ""sen"" for senators or ""rep"" for representatives and delegates to the House"
url,,The official website URL of the legislator ,text,only valid if the term is current
