original_column_name,column_name,column_description,data_format,value_description
TweetID,tweet id,the unique id of the tweet,text,
Weekday,,the weekday that the tweet has been posted,text,
Hour,,the hour that the tweet has been posted,integer,
Day,,the day that the tweet has been posted,integer,
Lang,language,the language of the tweet,text,
IsReshare,is reshare,whether the tweet is reshared,text,"commonsense evidence:
A reshared tweet is when someone reshares or forwards a post to their own Twitter 
	true: the tweet is reshared
	false: the tweet isn't reshared"
Reach,,the reach of the tweet,integer,"commonsense evidence:
reach counts the number of unique users who have seen your tweet"
RetweetCount,retweet count,the retweet count,integer,
Likes,,the number of likes ,integer,
Klout,,the klout of the tweet,integer,
Sentiment,,the sentiment of the tweet,real,"commonsense evidence:
	>0: the sentiment of the tweet is positive. 
	=0: the sentiment of the tweet is neutral.
	<0: the sentiment of the tweet is negative. "
text,,the text of the tweet,text,
LocationID,location id,the location id of the poster,integer,
UserID,user id,the user id of the poster,integer,
